sep=,,,,,,,,,,,,,
数据表,分组,字段,值,单位,井深_top_m,井深_bottom_m,depth_md_m,cbl_amplitude_pct,quality_proxy,质量等级_代理,说明,来源文件,OCR置信度
OCR精选图头,selected_ocr_070,text,作业队号,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7712
OCR精选图头,selected_ocr_071,text,李永涛,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7487
OCR精选图头,selected_ocr_072,text,C4490,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8268
OCR精选图头,selected_ocr_073,text,田仕勇,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7419
OCR精选图头,selected_ocr_074,text,审核员,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7488
OCR精选图头,selected_ocr_075,text,校对人,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7469
OCR精选图头,selected_ocr_076,text,同古力克,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7471
OCR精选图头,selected_ocr_077,text,迟彦华,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.748
OCR精选图头,selected_ocr_078,text,胶结中等,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7991
OCR精选图头,selected_ocr_079,text,胶结差,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7482
OCR精选图头,selected_ocr_080,text,胶结良好,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7963
OCR精选图头,selected_ocr_081,text,解释结论,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7454
OCR精选图头,selected_ocr_082,text,100,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7474
OCR精选图头,selected_ocr_083,text,声波时差,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7632
OCR精选图头,selected_ocr_084,text,磁定位,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7438
OCR精选图头,selected_ocr_085,text,变密度,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7497
OCR精选图头,selected_ocr_086,text,100,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7475
OCR精选图头,selected_ocr_087,text,(us/m),,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.8202
OCR精选图头,selected_ocr_088,text,100,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.741
OCR精选图头,selected_ocr_089,text,500,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7487
OCR精选图头,selected_ocr_090,text,自然伽玛（生产）,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7879
OCR精选图头,selected_ocr_091,text,2050,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7866
OCR精选图头,selected_ocr_092,text,5400,,,,5390,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7997
OCR精选图头,selected_ocr_093,text,5420,,,,6120,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7763
OCR精选图头,selected_ocr_094,text,5450,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7994
OCR精选图头,selected_ocr_095,text,5460,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7736
OCR精选图头,selected_ocr_096,text,5470,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7419
OCR精选图头,selected_ocr_097,text,5480,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7824
OCR精选图头,selected_ocr_098,text,5490,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.797
OCR精选图头,selected_ocr_099,text,5500,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7996
OCR精选图头,selected_ocr_100,text,5510,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7996
OCR精选图头,selected_ocr_101,text,5520,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7995
OCR精选图头,selected_ocr_102,text,5530,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7997
OCR精选图头,selected_ocr_103,text,5540,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7995
OCR精选图头,selected_ocr_104,text,5550,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7993
OCR精选图头,selected_ocr_105,text,5570,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7995
OCR精选图头,selected_ocr_106,text,5580,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7995
OCR精选图头,selected_ocr_107,text,5590,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7904
OCR精选图头,selected_ocr_108,text,5600,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7996
OCR精选图头,selected_ocr_109,text,5610,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7666
OCR精选图头,selected_ocr_110,text,5620,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7991
OCR精选图头,selected_ocr_111,text,5630,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7996
OCR精选图头,selected_ocr_112,text,5640,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7994
OCR精选图头,selected_ocr_113,text,5650,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7987
OCR精选图头,selected_ocr_114,text,...........,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7476
OCR精选图头,selected_ocr_115,text,5660,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7995
OCR精选图头,selected_ocr_116,text,5670,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7997
OCR精选图头,selected_ocr_117,text,5680,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7991
OCR精选图头,selected_ocr_118,text,......,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7462
OCR精选图头,selected_ocr_119,text,...........,,,,7810,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,0.7742
CBL剖面点,双层套管不评价段,point_0001,,,,,5500,3.7,0.963,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0002,,,,,5510,3.7,0.963,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0003,,,,,5520,3.7,0.963,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0004,,,,,5530,4.1,0.959,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0005,,,,,5540,3.7,0.963,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0006,,,,,5550,3.7,0.963,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0007,,,,,5560,4.1,0.959,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0008,,,,,5570,4.4,0.956,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0009,,,,,5580,4.4,0.956,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0010,,,,,5590,4.8,0.952,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0011,,,,,5600,4.4,0.956,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0012,,,,,5610,4.1,0.959,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0013,,,,,5620,4.4,0.956,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0014,,,,,5630,4.8,0.952,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0015,,,,,5640,3.7,0.963,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0016,,,,,5650,4.4,0.956,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0017,,,,,5660,4.4,0.956,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0018,,,,,5670,4.8,0.952,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0019,,,,,5680,4.1,0.959,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,双层套管不评价段,point_0020,,,,,5690,4.1,0.959,胶结良好,5390.0-5699.8m 双层套管二界面不作评价,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0021,,,,,5700,4.4,0.956,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0022,,,,,5710,4.8,0.952,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0023,,,,,5720,4.8,0.952,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0024,,,,,5730,4.8,0.952,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0025,,,,,5740,4.8,0.952,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0026,,,,,5750,4.8,0.952,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0027,,,,,5760,4.1,0.959,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0028,,,,,5770,4.8,0.952,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0029,,,,,5780,3.7,0.963,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0030,,,,,5790,3.7,0.963,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0031,,,,,5800,4.1,0.959,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0032,,,,,5810,3.3,0.967,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0033,,,,,5820,4.1,0.959,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0034,,,,,5830,4.1,0.959,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0035,,,,,5840,4.8,0.952,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0036,,,,,5850,4.8,0.952,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0037,,,,,5860,4.1,0.959,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0038,,,,,5870,4.1,0.959,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0039,,,,,5880,5.2,0.948,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0040,,,,,5890,4.4,0.956,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0041,,,,,5900,4.4,0.956,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0042,,,,,5910,4.1,0.959,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0043,,,,,5920,3.7,0.963,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0044,,,,,5930,3.7,0.963,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0045,,,,,5940,3.7,0.963,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0046,,,,,5950,5.9,0.941,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0047,,,,,5960,4.4,0.956,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0048,,,,,5970,4.8,0.952,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0049,,,,,5980,5.6,0.944,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0050,,,,,5990,5.6,0.944,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0051,,,,,6000,4.4,0.956,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0052,,,,,6010,6.3,0.937,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0053,,,,,6020,7.4,0.926,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0054,,,,,6030,3.7,0.963,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0055,,,,,6040,5.9,0.941,胶结良好,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0056,,,,,6050,92.6,0.074,差/空套风险,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0057,,,,,6060,92.6,0.074,差/空套风险,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0058,,,,,6070,92.6,0.074,差/空套风险,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0059,,,,,6080,92.6,0.074,差/空套风险,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0060,,,,,6090,92.6,0.074,差/空套风险,双层套管以下、目的井段以上,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0061,,,,,6100,92.6,0.074,差/空套风险,6100-6400m 高声幅异常/重点风险段,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0062,,,,,6110,92.6,0.074,差/空套风险,6100-6400m 高声幅异常/重点风险段,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0063,,,,,6120,92.6,0.074,差/空套风险,6100-6400m 高声幅异常/重点风险段,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0064,,,,,6130,92.6,0.074,差/空套风险,6100-6400m 高声幅异常/重点风险段,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0065,,,,,6140,93,0.07,差/空套风险,6100-6400m 高声幅异常/重点风险段,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,过渡/非目的段,point_0066,,,,,6150,92.6,0.074,差/空套风险,6100-6400m 高声幅异常/重点风险段,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0067,,,,,6160,92.6,0.074,差/空套风险,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0068,,,,,6170,92.6,0.074,差/空套风险,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0069,,,,,6180,92.6,0.074,差/空套风险,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0070,,,,,6190,92.6,0.074,差/空套风险,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0071,,,,,6200,92.6,0.074,差/空套风险,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0072,,,,,6210,92.6,0.074,差/空套风险,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0073,,,,,6220,7.4,0.926,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0074,,,,,6230,5.6,0.944,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0075,,,,,6240,24.8,0.752,胶结中等,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0076,,,,,6250,5.9,0.941,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0077,,,,,6260,5.2,0.948,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0078,,,,,6270,5.2,0.948,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0079,,,,,6280,4.4,0.956,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0080,,,,,6290,4.8,0.952,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0081,,,,,6300,4.4,0.956,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0082,,,,,6310,4.1,0.959,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0083,,,,,6320,4.1,0.959,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0084,,,,,6330,4.1,0.959,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0085,,,,,6340,4.1,0.959,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0086,,,,,6350,4.1,0.959,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0087,,,,,6360,4.8,0.952,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0088,,,,,6370,4.8,0.952,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0089,,,,,6380,3.7,0.963,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0090,,,,,6390,4.1,0.959,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0091,,,,,6400,4.1,0.959,胶结良好,6100-6400m 高声幅异常/重点风险段（与目的井段上部相交）,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
CBL剖面点,目的井段,point_0092,,,,,6410,4.1,0.959,胶结良好,6153.0-7741.0m 目的/应封固评价井段,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
